Nr.,Emri i Parfumit,Qmimi ,SASIA,vlera pa zbritje, vlera me zbritje, Category
1,Ysl Libre - L'eau nue,44.99,90ml,89.98,,YSL
2,Ysl libre - L'absolu platine,42.99,90ml,85.98,,YSL
3,Ysl Libre - eau de parfum,39.99,90ml,79.98,,YSL
4,Ysl Libre - Intense,39.99,90ml,79.98,,YSL
5,Ysl Libre - Le parfum,39.99,90ml,79.98,,YSL
6,Ysl Y - Eau de parfum,39.99,90ml,79.98,,YSL
7,Ysl Y - Eau de toilette,39.99,90ml,79.98,,YSL
8,Ysl Y - Le parfum,39.99,90ml,79.98,,YSL
9,Ysl MYSLF edp,43.99,90ml,87.98,,YSL
10,Ysl MYSLF le parfum,42.99,90ml,85.98,,YSL
11,Xerjoff Erba Pura,44.99,100ml,89.98,,XERIOEFF
12,Xerjoff Accento,54.99,100ml,109.98,,XERIOEFF
13,Xerjoff Purple Accento,67.99,100ml,135.98,,XERIOEFF
14,Xerjof Opera,64.99,100ml,129.98,,XERIOEFF
15,Xerjoff Alexandria ll,54.99,100ml,109.98,,XERIOEFF
16,Xerjoff Naxos,44.99,100ml,89.98,,XERIOEFF
17,Xerjoff Musk,44.99,100ml,89.98,,XERIOEFF
18,Xerjoff Erba Gold,44.99,100ml,89.98,,XERIOEFF
19,Xerjoff Wardasina,44.99,100ml,89.98,,XERIOEFF
20,Xerjoff Torino 21,64.99,100ml,129.98,,XERIOEFF
21,Xerjoff Star Musk,64.99,100ml,129.98,,XERIOEFF
22,Xerjoff More than words,44.99,100ml,89.98,,XERIOEFF
23,Xerjoff Erba Tropica,44.99,100ml,89.98,,XERIOEFF
24,Casamorati Mefisto,65.99,100ml,131.98,,Casamorati
25,Casamorati Bouquet Ideale,67.99,100ml,135.98,,Casamorati
26,Casamorati La Tosch,63.99,100ml,127.98,,Casamorati
27,Armani - Stronger with you,39.99,100ml,79.98,,Armani
28,Armani - Stronger with you intensely,39.99,100ml,79.98,,Armani
29,Armani - Stronger with you absolutely,39.99,100ml,79.98,,Armani
30,Armani - Stronger with you tabacco,39.99,100ml,79.98,,Armani
31,Armani - Stronger with you Parfum,39.99,100ml,79.98,,Armani
32,Armani - Stronger with you sandalwood,39.99,100ml,79.98,,Armani
33,Armani - Stronger with you leather,39.99,100ml,79.98,,Armani
34,Armani - Because it's you,39.99,100ml,79.98,,Armani
35,Armani - In love with you,39.99,100ml,79.98,,Armani
36,Armani - My way edp,39.99,100ml,79.98,,Armani
37,Armani - My way intense,39.99,100ml,79.98,,Armani
38,Armani - My way parfum,39.99,100ml,79.98,,Armani
39,Armani - My way floral edp,39.99,100ml,79.98,,Armani
40,Armani - Si edp,39.99,100ml,79.98,,Armani
41,Armani - Si edp intense,39.99,100ml,79.98,,Armani
42,Armani - Si Passione,39.99,100ml,79.98,,Armani
43,Armani - Si passione intense,39.99,100ml,79.98,,Armani
44,Armani - Si fiori edp,39.99,100ml,79.98,,Armani
45,Armani - Acqua di gioia,39.99,100ml,79.98,,Armani
46,Armani - Acqua terra di gioia,39.99,100ml,79.98,,Armani
47,Armani - Acqua di gio pour homme,39.99,100ml,79.98,,Armani
48,Armani - Acqua di gio profumo,39.99,100ml,79.98,,Armani
49,Armani - Acqua di gio profondo,39.99,100ml,79.98,,Armani
50,Armani - Acqua di gio absolu,39.99,100ml,79.98,,Armani
51,Armani - Acqua di gio profondo parfum,39.99,100ml,79.98,,Armani
52,Montale - Arabians,39.99,100ml,79.98,,Montale
53,Montale - Arabians Tonka,44.99,100ml,89.98,,Montale
54,Montale - Rose Musk,42.99,100ml,85.98,,Montale
55,Montale - Rose Elixir,43.99,100ml,87.98,,Montale
56,Montale - Intense caffe,39.99,100ml,79.98,,Montale
57,Montale - Oud tobacco,39.99,100ml,79.98,,Montale
58,Montale - Aoud forest,39.99,100ml,79.98,,Montale
59,Montale - Vanilla cake,39.99,100ml,79.98,,Montale
60,Montale - White musk,39.99,100ml,79.98,,Montale
61,Montale - Aoud night,39.99,100ml,79.98,,Montale
62,Montale - Intense pepper,39.99,100ml,79.98,,Montale
63,Montale - Candy rose,42.99,100ml,85.98,,Montale
64,Montale - Infinity,39.99,100ml,79.98,,Montale
65,Montale - Pink fantasy,39.99,100ml,79.98,,Montale
66,Montale - Fantastic Oud,39.99,100ml,79.98,,Montale
67,Montale - Dark Purple,39.99,100ml,79.98,,Montale
68,Montale - Vanilla Extasy,39.99,100ml,79.98,,Montale
69,Montale - Soleil de capri,39.99,100ml,79.98,,Montale
70,Montale - Sensual instinct,39.99,100ml,79.98,,Montale
71,Prada Paradoxe edp,44.99,90ml,89.98,,Prada
72,Prada Paradoxe intense,48.99,90ml,97.98,,Prada
73,Prada paradoxe virtual flower,39.99,90ml,79.98,,Prada
74,Prada - Candy,42.99,90ml,85.98,,Prada
75,Prada - Luna rossa ocean,39.99,90ml,79.98,,Prada
76,Prada - Luna rossa black,43.99,90ml,87.98,,Prada
77,Prada - Luna rossa carbon,41.99,90ml,83.98,,Prada
78,Prada - L'homme edp intense,41.99,90ml,83.98,,Prada
79,Prada -L'homme edp,41.99,90ml,83.98,,Prada
80,Tom Ford - Lost cherry,42.99,100ml,85.98,,Tom Ford
81,Tom Ford - Tobacco vanille,44.99,100ml,89.98,,Tom Ford
82,Tom Ford - Fucking Fabulous,41.99,100ml,83.98,,Tom Ford
83,Tom Ford - Oud wood,42.99,100ml,85.98,,Tom Ford
84,Tom Ford - Electric cherry,48.99,100ml,97.98,,Tom Ford
85,Tom Ford - Rose pick,41.99,100ml,83.98,,Tom Ford
86,Tom Ford - Ébene fume,39.99,100ml,79.98,,Tom Ford
87,Tom Ford - Ombre leather,41.99,100ml,83.98,,Tom Ford
88,Tom Ford - Black orchid,39.99,100ml,79.98,,Tom Ford
89,Tom Ford -  Velvet orchid,39.99,100ml,79.98,,Tom Ford
90,Tom Ford - Bitter peach,48.99,100ml,97.98,,Tom Ford
91,Tom Ford - Neroli Portofino,45.99,100ml,91.98,,Tom Ford
92,Tom Ford - Soleil Blanc,41.99,100ml,83.98,,Tom Ford
93,Tom Ford - Costa Azzurra,43.99,100ml,87.98,,Tom Ford
94,Tom Ford - Vanille Fatale,39.99,100ml,79.98,,Tom Ford
95,Tom Ford - Café Rose,39.99,100ml,79.98,,Tom Ford
96,Tom Ford - Soleil Neige,39.99,100ml,79.98,,Tom Ford
97,Tom Ford - Cherry Smoke,39.99,100ml,79.98,,Tom Ford
98,Tom Ford - Noir Extreme,39.99,100ml,79.98,,Tom Ford
99,Tom Ford - White Suede,39.99,100ml,79.98,,Tom Ford
100,Tom Ford - Mandarino di Amalfi,44.99,100ml,89.98,,Tom Ford
101,Tom Ford - Noir,39.99,100ml,79.98,,Tom Ford
102,Tom Ford - Metallique,48.99,100ml,97.98,,Tom Ford
103,Tom Ford - Tuscan Leather,39.99,100ml,79.98,,Tom Ford
104,Tom Ford - Costa Azzurra,39.99,100ml,79.98,,Tom Ford
105,Tom Ford - Noir de Noir,47.99,100ml,95.98,,Tom Ford
106,Gucci - Bloom,39.99,90ml,79.98,,Gucci
107,Gucci - Flora Gorgeous Gardenia,39.99,90ml,79.98,,Gucci
108,Gucci - Flora Gorgeous Jasmine,39.99,90ml,79.98,,Gucci
109,Gucci - Rush,39.99,90ml,79.98,,Gucci
110,Gucci - Guilty Pour Femme,39.99,90ml,79.98,,Gucci
111,Gucci - Flora gorgeous poppy,39.99,90ml,79.98,,Gucci
112,Gucci - Flora gorgeous orchid,39.99,90ml,79.98,,Gucci
113,Gucci - Guilty Pour Homme,39.99,90ml,79.98,,Gucci
114,Valentino Donna,42.99,100ml,85.98,,Valentino
115,Valentino Donna - Born in Roma,42.99,100ml,85.98,,Valentino
116,Valentino Donna - Born in Roma intense,44.99,100ml,89.98,,Valentino
117,Valentino Donna Born in Roma Coral Fantasy,41.99,100ml,83.98,,Valentino
118,Valentino Donna Yellow Dream,47.99,100ml,95.98,,Valentino
119,Valentino Uomo Born in Roma,41.99,100ml,83.98,,Valentino
120,Valentino Uomo Born in Roma Intense,42.99,100ml,85.98,,Valentino
121,Valentino Uomo Born in Roma Coral Fantasy,41.99,100ml,83.98,,Valentino
122,Valentino Uomo Born in Roma Green Stravaganza,47.99,100ml,95.98,,Valentino
123,Valentino Uomo Born in Roma Yellow Dream,41.99,100ml,83.98,,Valentino
124,Valentino Uomo Born in Roma Eau de parfum,39.99,100ml,79.98,,Valentino
125,Valentino Uomo Born in Roma Eau de toilette,39.99,100ml,79.98,,Valentino
126,Chanel - Allure Homme,39.99,100ml,79.98,,Chanel
127,Chanel - Allure homme sport,39.99,100ml,79.98,,Chanel
128,Chanel - Chanel N°5,39.99,100ml,79.98,,Chanel
129,"Chanel - 	Chanel N°5 L'Eau",39.99,100ml,79.98,,Chanel
130,Chanel - Chanel Coco,42.99,100ml,85.98,,Chanel
131,Chanel - Coco Mademoiselle,39.99,100ml,79.98,,Chanel
132,Chanel - Coco noir,39.99,100ml,79.98,,Chanel
133,Chanel - Chance,39.99,100ml,79.98,,Chanel
134,Chanel - Chance Eau Tendre,39.99,100ml,79.98,,Chanel
135,Chanel Chance Eau Fraîche,39.99,100ml,79.98,,Chanel
136,Chanel - Bleu de chanel,39.99,100ml,79.98,,Chanel
137,DolceGabbana - Light Blue Eau Intense,39.99,100ml,79.98,,Dolce Gabana
138,DolceGabbana - The One Eau de Parfum,39.99,100ml,79.98,,Dolce Gabana
139,DolceGabbana - The One Gold Intense,39.99,100ml,79.98,,Dolce Gabana
140,DolceGabbana - Q by dolce edp,39.99,100ml,79.98,,Dolce Gabana
141,DolceGabbana - Q by dolce  edp intense,39.99,100ml,79.98,,Dolce Gabana
142,DolceGabbana - Devotion Eau de Parfum,39.99,100ml,79.98,,Dolce Gabana
143,DolceGabbana - Devotion edp intense,39.99,100ml,79.98,,Dolce Gabana
144,DolceGabbana - K by dolce,39.99,100ml,79.98,,Dolce Gabana
145,DolceGabban - The One for Men Eau de Parfum,39.99,100ml,79.98,,Dolce Gabana
146,DolceGabbana - the One for Men edp Intense,39.99,100ml,79.98,,Dolce Gabana
147,DolceGabbana -Light Blue Pour Homme Intense,39.99,100ml,79.98,,Dolce Gabana
148,DolceGabbana - Pour homme edp,39.99,100ml,79.98,,Dolce Gabana
149,Dior - Miss Dior,41.99,100ml,83.98,,Dior
150,Dior - Miss Dior cherie,41.99,100ml,83.98,,Dior
151,Dior - Miss Dior blooming bouquet,43.99,100ml,87.98,,Dior
152,Dior - Miss Dior absolutely bouquet,44.99,100ml,89.98,,Dior
153,Dior - J'adore,39.99,100ml,79.98,,Dior
154,Dior - JOY by Dior,39.99,100ml,79.98,,Dior
155,Dior - Hypnotic Poison,39.99,100ml,79.98,,Dior
156,Dior - Sauvage,41.99,100ml,83.98,,Dior
157,Dior - Sauvage elixir,43.99,60ml,87.98,,Dior
158,Dior - Homme,39.99,100ml,79.98,,Dior
159,Dior - Fahrenheit,39.99,100ml,79.98,,Dior
160,Dior - Homme intense,39.99,100ml,79.98,,Dior
161,Givenchy - L'Interdit Eau de Parfum,39.99,80ml,79.98,,Givenchy
162,Givenchy - L'Interdit edp Rouge,39.99,80ml,79.98,,Givenchy
163,Givenchy - L'Interdit intense,39.99,80ml,79.98,,Givenchy
164,Givenchy - Irresistible Eau de Parfum,39.99,80ml,79.98,,Givenchy
165,Givenchy - Irresistible Rose Velvet,39.99,80ml,79.98,,Givenchy
166,Givenchy - Gentleman Eau de Parfum,39.99,80ml,79.98,,Givenchy
167,Givenchy - Gentleman Réserve Privée,39.99,80ml,79.98,,Givenchy
168,Lancome - La Vie Est Belle Eau de Parfum,39.99,100ml,79.98,,Lancome
169,Lancome - La Vie Est Belle L'Éclat,39.99,100ml,79.98,,Lancome
170,Lancome - La Vie Est Belle L'Élixir,39.99,100ml,79.98,,Lancome
171,Lancome - Idôle Eau de Parfum,39.99,100ml,79.98,,Lancome
172,Lancome - Idôle L'Intense,39.99,100ml,79.98,,Lancome
173,Lancome  - Trésor Midnight Rose,39.99,100ml,79.98,,Lancome
174,Lancome - Trésor La Nuit Nude,39.99,100ml,79.98,,Lancome
175,Lancome - Tresor midnight rose elixir,39.99,100ml,79.98,,Lancome
176,Lancome - Poeme,39.99,100ml,79.98,,Lancome
177,Narciso rodriguez - Rouge for her,39.99,90ml,79.98,,Narciso Rodriguez
178,Narciso rodriguez - Poudree edp,39.99,90ml,79.98,,Narciso Rodriguez
179,Narciso rodriguez - Ambree,39.99,90ml,79.98,,Narciso Rodriguez
180,Narciso rodriguez - Musc noir,39.99,90ml,79.98,,Narciso Rodriguez
181,Narciso rodriguez - Pure musc,39.99,90ml,79.98,,Narciso Rodriguez
182,Narciso rodriguez - Fleur musc,39.99,90ml,79.98,,Narciso Rodriguez
183,Calvin Klein - Eternity edp,39.99,100ml,79.98,,Calvin Klein
184,Calvin Klein - Eternity Edp intense,39.99,100ml,79.98,,Calvin Klein
185,Boss - The scent for her edp,39.99,100ml,79.98,,Boss
186,Boss - the scent magnetic for her,39.99,100ml,79.98,,Boss
187,Boss - the scent elixir for her,39.99,100ml,79.98,,Boss
188,Boss - Alive Parfum,39.99,100ml,79.98,,Boss
189,Boss - Alive edp,39.99,100ml,79.98,,Boss
190,Chloe - No made,39.99,100ml,79.98,,Chloe
191,Paco Rabanne - Olympea intense,39.99,100ml,79.98,,Paco Rabanne
192,Paco rabanne - Olympea blossom,39.99,100ml,79.98,,Paco Rabanne
193,Paco rabanne - Olympea edp,39.99,100ml,79.98,,Paco Rabanne
194,Roberto Cavalli - Paradiso assoluto,39.99,100ml,79.98,,Roberto Cavalli
195,Roberto Cavalli - Paradiso Azzuro,39.99,100ml,79.98,,Roberto Cavalli
196,Burberry Her elixir,41.99,100ml,83.98,,Burberry
197,Burberry Her edp,42.99,100ml,85.98,,Burberry
198,Burberry London edp,39.99,100ml,79.98,,Burberry
199,Burrbery - Goddess,44.99,100ml,89.98,,Burbery
200,Victoria Secret - Bombshell,39.99,100ml,79.98,,Victoria Secret
201,Victoria Secret - Paris,39.99,100ml,79.98,,Victoria Secret
202,Bvlgari - Omnia amethyste,41.99,100ml,83.98,,Bvlgari
